
Industry Name	Number of firms	Current PE	Trailing PE	Forward PE	Aggregate Mkt Cap/ Net Income	Aggregate Mkt Cap/ Trailing Net Income	Expected growth - next 5 years	PEG Ratio
Advertising	41	23.48	110.96	17.12	22.72	15.74	8.44%	1.86
Aerospace/Defense	96	58.37	44.24	30.85	19.67	17.11	8.90%	1.92
Air Transport	18	10.58	13.94	15.00	6.31	8.34	3.79%	2.20
Apparel	58	24.89	41.13	18.30	20.80	20.53	13.18%	1.56
Auto & Truck	15	13.64	12.90	11.27	6.86	5.33	16.19%	0.33
Auto Parts	63	20.32	23.84	14.43	9.95	13.67	13.85%	0.99
Bank (Money Center)	10	14.91	13.65	14.22	12.41	12.95	7.65%	1.69
Banks (Regional)	645	22.69	20.94	22.30	19.15	18.59	8.91%	2.09
Beverage (Alcoholic)	25	45.06	65.81	27.25	27.48	24.38	18.26%	1.34
Beverage (Soft)	36	58.37	31.11	52.36	26.42	24.16	9.64%	2.51
Broadcasting	30	20.98	27.67	16.42	32.59	15.08	7.97%	1.89
Brokerage & Investment Banking	45	30.04	23.56	18.88	18.72	18.88	14.51%	1.30
Building Materials	41	28.06	26.23	19.86	21.92	17.51	14.70%	1.19
Business & Consumer Services	165	47.18	31.94	22.71	30.97	24.82	14.66%	1.69
Cable TV	14	52.74	20.64	27.17	33.11	21.68	13.73%	1.58
Chemical (Basic)	45	15.83	19.05	18.40	25.48	16.02	8.59%	1.86
Chemical (Diversified)	8	25.72	17.32	13.83	14.14	13.18	12.42%	1.06
Chemical (Specialty)	100	29.26	33.69	40.07	26.86	27.82	11.48%	2.42
Coal & Related Energy	38	12.20	16.03	30.39	NA	11.69	NA	NA
Computer Services	117	32.51	152.11	20.43	15.44	16.26	12.46%	1.30
Computers/Peripherals	55	80.05	20.15	40.33	14.33	13.47	17.20%	0.78
Construction Supplies	51	39.82	29.98	25.57	20.41	28.95	12.43%	2.33
Diversified	24	27.12	39.74	30.58	32.66	19.95	11.31%	1.76
Drugs (Biotechnology)	426	321.61	245.74	110.44	25.36	14.93	17.17%	0.87
Drugs (Pharmaceutical)	164	182.25	43.69	21.19	30.88	25.69	31.39%	0.82
Education	36	27.76	35.51	36.03	NA	21.09	13.00%	1.62
Electrical Equipment	119	28.39	2168.35	25.96	27.91	24.34	14.94%	1.63
Electronics (Consumer & Office)	24	21.29	19.28	14.22	28.60	21.41	17.00%	1.26
Electronics (General)	164	37.49	51.91	34.12	30.70	20.81	18.19%	1.14
Engineering/Construction	48	31.35	543.30	23.52	64.20	33.35	11.97%	2.78
Entertainment	79	34.22	36.64	29.32	18.42	17.31	12.11%	1.43
Environmental & Waste Services	89	468.68	43.63	28.63	38.47	30.26	14.09%	2.15
Farming/Agriculture	37	35.65	20.69	24.78	18.18	18.66	13.40%	1.39
Financial Svcs. (Non-bank & Insurance)	258	40.65	29.88	30.20	10.71	11.10	10.31%	1.08
Food Processing	87	32.60	36.05	24.48	24.90	28.01	10.66%	2.63
Food Wholesalers	16	28.81	133.24	22.46	31.97	30.64	11.49%	2.67
Furn/Home Furnishings	30	21.04	27.31	20.33	21.86	17.77	13.94%	1.28
Green & Renewable Energy	25	78.91	41.75	55.91	NA	25.53	-29.59%	NA
Healthcare Products	254	60.03	112.40	50.44	35.61	26.74	16.62%	1.61
Healthcare Support Services	121	140.09	62.53	25.15	21.01	19.50	15.14%	1.29
Heathcare Information and Technology	125	53.51	63.21	36.41	35.93	32.46	18.58%	1.75
Homebuilding	33	21.85	17.74	12.90	13.15	12.03	14.99%	0.80
Hospitals/Healthcare Facilities	38	58.00	28.99	15.74	20.28	13.85	14.94%	0.93
Hotel/Gaming	69	68.84	28.50	22.18	16.51	19.47	12.56%	1.55
Household Products	129	33.90	60.99	22.30	28.70	24.61	21.67%	1.14
Information Services	64	33.97	28.26	20.76	31.57	27.96	13.38%	2.09
Insurance (General)	19	39.68	36.69	16.51	23.45	30.25	11.10%	2.73
Insurance (Life)	22	16.26	12.69	11.45	11.03	12.10	8.23%	1.47
Insurance (Prop/Cas.)	50	39.54	20.19	19.77	14.03	15.72	11.88%	1.32
Investments & Asset Management	156	27.99	36.24	15.12	17.42	16.73	13.15%	1.27
Machinery	127	28.86	38.04	26.46	25.00	23.19	12.07%	1.92
Metals & Mining	97	29.80	27.45	26.52	NA	32.82	19.62%	1.67
Office Equipment & Services	24	17.41	249.58	17.57	13.66	15.16	11.50%	1.32
Oil/Gas (Integrated)	7	35.81	41.87	38.09	29.67	41.87	10.62%	3.94
